source,date,assertionType,evidenceType,exactText,modality,statementType,drug1Lab,drug1Type,drug1Role,dose1,drug2Lab,drug2Type,drug2Role,dose2,objectRegimens,objectFormulation,objectDuration,preciptRegimens,preciptFormulation,preciptDuration,numOfParticipants,auc,aucType,aucDirection,cl,clType,clDirection,cmax,cmaxType,cmaxDirection,t12,t12Type,t12Direction
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:35:23 -0700,DDI-clinical-trial,evidence-supports,"Ketoconazole: Co-administration of ketoconazole (200 mg twice daily for 4 days), a potent inhibitor of CYP3A4, with a 3 mg single dose of iloperidone to 19 healthy volunteers, ages 18 to 45 years, increased the area under the curve (AUC) of iloperidone and its metabolites P88 and P95 by 57%, 55% and 35%, respectively. Iloperidone doses should be reduced by about one-half when administered with ketoconazole or other strong inhibitors of CYP3A4 (e.g., itraconazole). Weaker inhibitors (e.g., erythromycin, grapefruit juice) have not been studied. When the CYP3A4 inhibitor is withdrawn from the combination therapy, the iloperidone dose should be returned to the previous level.",ncit:positive,ncit:quantitative,iloperidone,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,3,ketoconazole,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,200,SD,Oral,1,BID,Oral,4,19,57,Percent,Increase,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 15:12:19 -0700,DDI-clinical-trial,evidence-supports,"Dextromethorphan: A study in healthy volunteers showed that changes in the pharmacokinetics of dextromethorphan (80 mg dose) when a 3 mg dose of iloperidone was co-administered resulted in a 17% increase in total exposure and a 26% increase in the maximum plasma concentrations (Cmax)of dextromethorphan. Thus, an interaction between iloperidone and other CYP2D6 substrates is unlikely.",ncit:positive,ncit:quantitative,dextromethorphan,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,80,iloperidone,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,3,SD,Oral,1,SD,Oral,1,UNK,17,Percent,Increase,UNK,UNK,UNK,26,Percent,Increase,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:46:00 -0700,DDI-clinical-trial,evidence-supports,"Fluoxetine: Co-administration of fluoxetine (20 mg twice daily for 21 days), a potent inhibitor of CYP2D6, with a single 3 mg dose of iloperidone to 23 healthy volunteers, ages 29 to 44 years, who were classified as CYP2D6 extensive metabolizers, increased the AUC of iloperidone and its metabolite P88, by about 2- to 3-fold, and decreased the AUC of its metabolite P95 by one-half. Iloperidone doses should be reduced by one-half when administered with fluoxetine. ",ncit:positive,ncit:quantitative,fluoxetine,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,20,P88,dikbD2R:metabolite,dikbD2R:object-drug-of-interaction,3,SD,Oral,1,BID,Oral,21,23,2 to 3,Fold,Increase,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:55:02 -0700,DDI-clinical-trial,evidence-supports,"Paroxetine: Co-administration of paroxetine (20 mg/day for 5 to 8 days), a potent inhibitor of CYP2D6, with multiple doses of iloperidone (8 or 12 mg twice daily) to patients with schizophrenia ages 18 to 65 years resulted in increased mean steady-state peak concentrations of iloperidone and its metabolite P88, by about 1.6-fold, and decreased mean steady-state peak concentrations of its metabolite P95 by one-half. Iloperidone doses should be reduced by one-half when administered with paroxetine. ",ncit:positive,ncit:quantitative,P88,dikbD2R:metabolite,dikbD2R:object-drug-of-interaction,8 or 12,paroxetine,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,20,BID,Oral,UNK,Daily,Oral,5 to 8,UNK,UNK,UNK,UNK,UNK,UNK,UNK,1.6,Fold,Decrease,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:55:02 -0700,DDI-clinical-trial,evidence-supports,"Paroxetine: Co-administration of paroxetine (20 mg/day for 5 to 8 days), a potent inhibitor of CYP2D6, with multiple doses of iloperidone (8 or 12 mg twice daily) to patients with schizophrenia ages 18 to 65 years resulted in increased mean steady-state peak concentrations of iloperidone and its metabolite P88, by about 1.6-fold, and decreased mean steady-state peak concentrations of its metabolite P95 by one-half. Iloperidone doses should be reduced by one-half when administered with paroxetine. ",ncit:positive,ncit:quantitative,paroxetine,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,20,P95,dikbD2R:metabolite,dikbD2R:object-drug-of-interaction,8 or 12,BID,Oral,UNK,Daily,Oral,5 to 8,UNK,UNK,UNK,UNK,UNK,UNK,UNK,50,Percent,Decrease,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:46:00 -0700,DDI-clinical-trial,evidence-supports,"Fluoxetine: Co-administration of fluoxetine (20 mg twice daily for 21 days), a potent inhibitor of CYP2D6, with a single 3 mg dose of iloperidone to 23 healthy volunteers, ages 29 to 44 years, who were classified as CYP2D6 extensive metabolizers, increased the AUC of iloperidone and its metabolite P88, by about 2- to 3-fold, and decreased the AUC of its metabolite P95 by one-half. Iloperidone doses should be reduced by one-half when administered with fluoxetine. ",ncit:positive,ncit:quantitative,fluoxetine,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,20,iloperidone,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,3,SD,Oral,1,BID,Oral,21,23,2 to 3,Fold,Increase,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 15:19:40 -0700,DDI-clinical-trial,evidence-challenges,luoxetine: A single 3 mg dose of iloperidone had no effect on the pharmacokinetics of fluoxetine (20 mg twice daily). ,ncit:negative,ncit:quantitative,fluoxetine,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,20,iloperidone,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,3,BID,Oral,UNK,SD,Oral,1,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:49:58 -0700,DDI-clinical-trial,evidence-supports,"Paroxetine: Co-administration of paroxetine (20 mg/day for 5 to 8 days), a potent inhibitor of CYP2D6, with multiple doses of iloperidone (8 or 12 mg twice daily) to patients with schizophrenia ages 18 to 65 years resulted in increased mean steady-state peak concentrations of iloperidone and its metabolite P88, by about 1.6-fold, and decreased mean steady-state peak concentrations of its metabolite P95 by one-half. Iloperidone doses should be reduced by one-half when administered with paroxetine. ",ncit:positive,ncit:quantitative,iloperidone,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,8 or 12,paroxetine,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,20,BID,Oral,UNK,Daily,Oral,5 to 8,UNK,UNK,UNK,UNK,UNK,UNK,UNK,1.6,Fold,Increase,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 14:35:23 -0700,DDI-clinical-trial,evidence-supports,"Ketoconazole: Co-administration of ketoconazole (200 mg twice daily for 4 days), a potent inhibitor of CYP3A4, with a 3 mg single dose of iloperidone to 19 healthy volunteers, ages 18 to 45 years, increased the area under the curve (AUC) of iloperidone and its metabolites P88 and P95 by 57%, 55% and 35%, respectively. Iloperidone doses should be reduced by about one-half when administered with ketoconazole or other strong inhibitors of CYP3A4 (e.g., itraconazole). Weaker inhibitors (e.g., erythromycin, grapefruit juice) have not been studied. When the CYP3A4 inhibitor is withdrawn from the combination therapy, the iloperidone dose should be returned to the previous level.",ncit:positive,ncit:quantitative,ketoconazole,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,200,P88,dikbD2R:metabolite,dikbD2R:object-drug-of-interaction,3,SD,Oral,1,BID,Oral,4,19,55,Percent,Increase,UNKUNUNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK
http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html ,2015-11-29 15:23:59 -0700,DDI-clinical-trial,evidence-supports,"Midazolam (a sensitive CYP 3A4 substrate): A study in patients with schizophrenia showed a less than 50% increase in midazolam total exposure at iloperidone steady state (14 days of oral dosing at up to 10 mg iloperidone twice daily) and no effect on midazolam Cmax. Thus, an interaction between iloperidone and other CYP3A4 substrates is unlikely.",ncit:positive,ncit:quantitative,iloperidone,dikbD2R:active-ingredient,dikbD2R:precipitant-drug-of-interaction,up to 10,midazolam,dikbD2R:active-ingredient,dikbD2R:object-drug-of-interaction,UNK,UNK,Oral,UNK,BID,Oral,14,UNK,less than 50,Percent,Increase,UNK,UNK,UNK,no effect,UNK,UNK,UNK,UNK,UNK
